SITE_NUM,Unit,LimitL,LimitU,,No_21,No_22,No_23,No_24,No_25,No_26,No_27,No_28,No_29,No_30,No_31,No_32,No_33,No_34,No_35,No_36,No_37,No_38,No_39,No_21,No_22,No_23,No_24,No_25,No_26,No_27,No_28,No_29,No_30,No_31,No_32,No_33,No_34,No_35,No_36,No_37,No_38,No_39,
PART_ID,,,,,0Pre,0Pre,0Pre,0Pre,0Pre,0Pre,0Pre,0Pre,0Pre,0Pre,0Pre,0Pre,0Pre,0Pre,0Pre,0Pre,0Pre,0Pre,0Pre,1Post,1Post,1Post,1Post,1Post,1Post,1Post,1Post,1Post,1Post,1Post,1Post,1Post,1Post,1Post,1Post,1Post,1Post,1Post,
PASSFG,,,,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,False,True,True,True,False,True,
SOFT_BIN,,,,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,2,1,
T_TIME,ms,,,,25880,25840,25838,25907,25883,25813,25830,25872,25855,25837,25889,25898,25864,25838,25812,25836,25864,25898,25839,25528,25528,25528,25528,25528,25528,25528,25528,25529,25528,25529,25528,25528,25527,25528,25530,25528,25528,25529,
P2P_LEAK_SW,%,-10,10,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-83.783784,-91.891892,-13.333333,-83.720930,27.586207,-39.024390,-56.000000,21.428571,-5.882353,-52.000000,-8.823529,36.842105,-58.620690,34.615385,-30.000000,275.000000,-9.523810,61.111111,-73.684211,
P2P_LEAK_SENSEN,%,-10,10,,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,-294.117647,80.000000,-181.818182,214.285714,-80.769231,-140.000000,-0.000000,-258.333333,-192.592593,68.000000,-43.333333,-126.190476,-610.000000,-190.476190,-150.000000,-27.777778,-41.935484,38.888889,-141.176471,
P2P_LEAK_BST,%,-10,10,,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,NULL,-0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,-340.000000,-22.222222,81.818182,112.500000,41.666667,2000.000000,-950.000000,116.666667,-100.000000,NULL,-250.000000,40.000000,-600.000000,900.000000,-16.666667,30.000000,-460.000000,466.666667,145.454545,
P2P_LEAK_TG,%,-10,10,,-0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,-62.500000,-41.176471,-80.000000,-300.000000,-150.000000,1500.000000,-111.111111,-187.500000,0.000000,-100.000000,-105.555556,-16.666667,-260.000000,-400.000000,-135.714286,100.000000,-180.000000,-225.000000,-22.222222,
P2P_LEAK_SENSEP,%,-10,10,,-0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,-0.000000,0.000000,0.000000,-0.000000,0.000000,-0.000000,155.555556,-105.882353,-100.000000,-20.588235,-138.888889,-122.580645,375.000000,-123.809524,162.500000,11.764706,-46.666667,-144.444444,-300.000000,766.666667,-164.285714,-210.526316,-114.893617,-81.250000,300.000000,
P2P_LEAK_SGND,%,-10,10,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
P2P_LEAK_EN,%,-10,10,,0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,0.000000,-0.000000,-0.000000,-0.000000,-0.000000,0.000000,-263.636364,16.666667,-124.489796,600.000000,41.176471,-91.228070,-20.000000,-100.000000,-35.483871,-164.705882,-146.511628,-50.000000,-128.571429,-153.488372,-66.666667,-105.128205,-36.842105,400.000000,-65.625000,
P2P_LEAK_BG,%,-10,10,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.117758,-0.223005,-0.445487,-0.458662,0.035236,-0.187771,0.057937,-0.106446,-0.294256,-0.519419,0.153864,-0.058976,0.349691,-0.160275,0.176284,-0.094351,-0.306893,0.555753,0.563446,
P2P_LEAK_SYNCO,%,-10,10,,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NULL,0.000000,0.000000,0.000000,-0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,22.222222,220.000000,-72.727273,-220.000000,-66.666667,-72.972973,183.333333,0.000000,-50.000000,NULL,0.000000,-62.500000,-66.666667,-153.333333,-55.555556,-50.000000,100.000000,-27.777778,22.222222,
P2P_LEAK_ILIM,%,-10,10,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.743187,-0.827130,0.083612,-0.111638,-0.391718,-0.393038,-0.777994,-0.808025,0.138122,-0.084175,-0.748752,0.416782,-0.304963,-0.579790,-0.167411,-0.027770,0.028050,-0.165746,-0.304372,
P2P_LEAK_PG,%,-10,10,,0.000000,0.000000,0.000000,0.000000,-0.000000,-0.000000,0.000000,NULL,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-61.538462,-20.000000,218.181818,-7.692308,-411.111111,-173.333333,566.666667,NULL,200.000000,82.352941,-26.666667,-9.677419,140.000000,80.000000,72.727273,111.764706,-125.000000,271.428571,30.000000,
P2P_LEAK_FREQ,%,-10,10,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,NULL,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,575.000000,100.000000,26.666667,20.000000,0.000000,-57.692308,61.538462,200.000000,-40.000000,100.000000,NULL,209.090909,200.000000,200.000000,-100.000000,-35.483871,-36.842105,-61.904762,41.176471,
