LimitL,,,,,,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,-10,
LimitU,,,,,,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,17,TRUE,1,1438,64,0.005882353,-0.216049383,0.003565062,0.003521127,0.003134796,0.002331002,,0.158380682,,,0.25,,7.666666667,,0.714285714,,-0.018450185,-0.00339325,0.003370787,0.000237511,8.97E-05,0.009090909,0,-0.001650713,-0.003654822,0.03066271,0.000149513,,,,0.000149522,0.121225327,8.97E-05,-5.99E-05,0.019130435,-0.000840336,0.307692308,-0.001361397,0.236568849,0.011837655,0.214285714,-0.000294522,0,0.005315615,0,-0.002101992,-0.00240096,,-0.007734807,,,-1,,0.8,,0.75,,0.015267176,0.003937008,0.006224066,0.003584229,0.003539823,0.003149606,0,
1,18,TRUE,1,1438,64,0.017647059,0.002057613,0.005357143,0.005291005,0.00312989,0.002320186,,30.61636829,,,-1,,11.16666667,,0.928571429,,0.003787879,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,,-1,,,,-1,,-1,-1,-1,-1,-1,-1,-1,
1,19,TRUE,1,1438,64,0.003921569,0.006185567,-1,0.003521127,0.003134796,0.002325581,,-1,,,-1,,-1,,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,,-1,,-1,,-1,,-1,-1,-1,-1,-1,-1,-1,
1,20,TRUE,1,1438,64,0.003921569,0.004106776,-1,0.003521127,0.003134796,0.002325581,,-1,,,-1,,-1,,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,,-1,,-1,,-1,,-1,-1,-1,-1,-1,-1,-1,
1,21,TRUE,1,1438,64,0.003913894,0.006160164,-1,0.005291005,0.004702194,0.002314815,,-1,,,-1,,-1,,-1,,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,,,-1,-1,-1,-1,-1,-1,#DIV/0!,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,,-1,,,-1,,-1,,-1,,-1,-1,-1,-1,-1,-1,-1,
1,22,TRUE,1,1438,64,0.003921569,0.008247423,0.003571429,0.005291005,0.004702194,0.002304147,,0.005511329,,,0.571428571,,-0.5,,-0.052631579,,0.048507463,-0.183882458,0.008036739,7.94E-05,0.000120041,0.017857143,0,-0.003893036,-0.002891501,-0.626092385,0.000120044,,,,6.00E-05,0.015059877,-0.000180077,-0.000180256,0,0,2,0,-0.136647347,-0.002763958,0.071428571,-0.000983284,-0.000335158,0.016765453,0,-0.003576073,0.001233046,,0.060869565,,,0.153846154,,0.428571429,,0.235294118,,-0.018181818,0.003937008,0.004140787,0.005385996,0.003539823,0.003144654,0.002309469,
1,23,TRUE,1,1438,64,0.001956947,0.004106776,0.001782531,0.003521127,0.001564945,0,,-0.012544803,,,2,,-0.285714286,,0.166666667,,-0.007326007,-0.009580163,-0.002306805,0,0.000120348,0.018181818,0,-0.002518698,-0.002498534,-3.375543741,6.02E-05,,,,-0.000150417,0.045730363,0,-9.04E-05,0,-0.000840336,1.166666667,0.001383216,-0.119769674,-0.000565291,0.071428571,-0.001049648,0.000670503,-0.000172503,0,-0.085142216,-0.001242236,,0.192180252,,,1.6,,0,,0.1,,-0.007407407,0.001964637,0.002066116,0.003584229,0.003539823,0.003144654,0.002336449,
1,24,TRUE,1,1438,64,0.003921569,0.004115226,0.003565062,0.003521127,0.003134796,0.002331002,,-0.004326329,,,2.5,,-0.714285714,,1.4,,0.038022814,-0.04352391,0.003480278,7.92E-05,-3.01E-05,0.009174312,0,-0.005879956,-0.003358862,-0.565894096,9.02E-05,,,,0,-0.430521636,-0.000360512,0.000270774,-0.001706485,0,0,-1.08E-05,0.064477754,-0.002256063,0.307692308,-0.001443322,-0.000279252,-0.010055479,0,0.138203453,-0.00618047,,0.226936027,,,-0.666666667,,0.25,,-0.043478261,,-0.021582734,0.003937008,0.004140787,0.003584229,0.003539823,0.003149606,0.002336449,
1,25,TRUE,1,1438,64,0.835616438,-0.028806584,0.001782531,0.003521127,0.0015625,0,,0.01010101,,,0.111111111,,-0.714285714,,-0.523809524,,0.027027027,0.086167602,-0.002270148,0.000159693,9.05E-05,0.018181818,0,-0.003851641,-0.003169594,-0.865326163,0.000271346,,,,0.000150725,-0.127301861,-9.04E-05,6.04E-05,0,0,-0.368421053,-0.000570451,-0.097007431,-0.001691094,0.066666667,-0.00121102,0.000167607,0.006254226,0,-0.039817423,-0.004872107,,0.023595506,,,1.5,,0.857142857,,0.769230769,,-0.026315789,0.001964637,0.004140787,0.003584229,0.003539823,0.001569859,0.002314815,
1,26,TRUE,1,1438,64,0.003921569,0.00617284,0.005357143,0.005291005,0.004709576,0.002314815,,0.062897078,,,-8.5,,6.333333333,,-3.55,,0.019083969,-0.007371704,0.00116144,7.99E-05,3.02E-05,0.027522936,0,-0.003955977,-0.003573573,-2.295136026,0.000181378,,,,0.000302316,-0.221606871,-0.000392868,-6.05E-05,0.019130435,0.000841043,1.5,-0.002554224,-0.070299145,0.010067114,-0.142857143,-0.971830986,-1,-1,-1,-1,-1,,-1,,,-1,,-1,,-1,,-1,-1,-1,-1,-1,-1,-1,
