SITE_NUM,Unit,LimitL,LimitU,,No_1,No_2,No_3,No_4,No_5,No_6,No_1,No_2,No_3,No_4,No_5,No_6,No_1,No_2,No_3,No_4,No_5,No_6,
PART_ID,,,,,1,1,1,1,1,1,2,2,2,2,2,2,3,3,3,3,3,3,
PASSFG,,,,,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,True,
Post_Leakage_out_h,%,-10,10,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
Post_Leakage_out_l,%,-10,10,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,17.080557,17.060213,18.830769,18.860992,14.096386,13.139535,17.080557,17.060213,18.830769,18.860992,14.096386,13.139535,
Post_Leakage_vin_h,%,-10,10,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
Post_Leakage_en_h,%,-10,10,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
Post_Leakage_en_l,%,-10,10,,0.000000,0.000000,0.000000,0.000000,0.000000,-0.000000,300.000000,1000.000000,0.000000,133.333333,450.000000,-900.000000,300.000000,1000.000000,0.000000,133.333333,450.000000,-900.000000,
Post_Leakage_pg_h,%,-10,10,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
Post_Leakage_pg_l,%,-10,10,,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,14.285714,-71.428571,-260.000000,-105.555556,-146.153846,66.666667,14.285714,-71.428571,-260.000000,-105.555556,-146.153846,66.666667,
Post_Leakage_pgdl_h,%,-10,10,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
Post_Leakage_pgdl_l,%,-10,10,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,180.000000,33.333333,20.000000,22.727273,64.705882,8.695652,180.000000,33.333333,20.000000,22.727273,64.705882,8.695652,
Post_Leakage_fb_h,%,-10,10,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,
Post_Leakage_fb_l,%,-10,10,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,2.745098,5.791506,1.119403,-4.074074,1.476015,0.377358,2.745098,5.791506,1.119403,-4.074074,1.476015,0.377358,
Post_Continuity_out,%,-10,10,,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,-0.196078,-0.195695,-0.195695,0.000000,-0.196078,-0.196078,-0.196078,-0.195695,-0.195695,0.000000,-0.196078,-0.196078,
Post_Continuity_vin,%,-10,10,,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.410678,-0.410678,-0.205339,-0.206186,-0.206186,-0.206186,-0.410678,-0.410678,-0.205339,-0.206186,-0.206186,-0.206186,
Post_Continuity_en,%,-10,10,,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.178253,-0.178253,-0.356506,-0.178571,-0.178571,-0.178571,-0.178253,-0.178253,-0.356506,-0.178571,-0.178571,-0.178571,
Post_Continuity_pg,%,-10,10,,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.176056,-0.176056,-0.176056,-0.176056,-0.352113,-0.352113,-0.176056,-0.176056,-0.176056,-0.176056,-0.352113,-0.352113,
Post_Continuity_pgdl,%,-10,10,,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.156250,-0.156250,-0.156250,-0.156740,-0.156250,-0.156740,-0.156250,-0.156250,-0.156250,-0.156740,-0.156250,-0.156740,
Post_Continuity_fb,%,-10,10,,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.000000,-0.229885,-0.000000,-0.000000,-0.000000,-0.230947,-0.000000,-0.229885,-0.000000,-0.000000,-0.000000,-0.230947,
