SITE_NUM,PART_ID,PASSFG,SOFT_BIN,T_TIME,TEST_NUM,Continuity_out,Continuity_vin,Continuity_en,Continuity_pg,Continuity_pgdl,Continuity_fb,Leakage_out_h,Leakage_out_l,Leakage_vin_h,Leakage_en_h,Leakage_en_l,Leakage_pg_h,Leakage_pg_l,Leakage_pgdl_h,Leakage_pgdl_l,Leakage_fb_h,Leakage_fb_l,POR_rising,POR_falling,POR_hys,Ignd100,Ishd,Vfb,Vout_5,Ifb,Ilimit,Vdropout_5_50mA,Vdropout_5_300mA,Vline_regulation_5,Vout_6V,Vout_12V,Vout_20V,Vout_30V,Vout_40V,Vload_regulation_5,Vout_5mA,Vout_300mA,Tss,Ven_low,Ven_high,Ien,PG_rising,PG_hys,PG_low,PG_leakage,PGDL_charg,PGDL_rising,PGDL_falling,PG_reaction,Post_Ishd,Post_Ignd100,Post_Leakage_out_h,Post_Leakage_out_l,Post_Leakage_vin_h,Post_Leakage_en_h,Post_Leakage_en_l,Post_Leakage_pg_h,Post_Leakage_pg_l,Post_Leakage_pgdl_h,Post_Leakage_pgdl_l,Post_Leakage_fb_h,Post_Leakage_fb_l,Post_Continuity_out,Post_Continuity_vin,Post_Continuity_en,Post_Continuity_pg,Post_Continuity_pgdl,Post_Continuity_fb,
Unit,,,,ms,,V,V,V,V,V,V,uA,uA,uA,uA,uA,uA,uA,uA,uA,uA,uA,V,V,V,uA,uA,V,V,uA,A,mV,mV,mV,V,V,V,V,V,mV,V,V,mS,v,v,uA,%,%,V,uA,uA,V,V,om,uA,uA,uA,uA,uA,uA,uA,uA,uA,uA,uA,uA,uA,V,V,V,V,V,V,
No_3,-40,True,1,1609,68,0.584,-0.672,-0.715,-0.720,-0.779,-0.498,,0.072,,,0.003,,0.001,,0.001,,0.249,2.8740,2.5219,0.3521,7.411,0.717,1.2597,3.3584,0.338,0.480,132.782,274.134,0.0732,3.3586,,,,3.3586,3.1885,3.3579,3.3547,0.9275,0.717,1.192,0.095,93.008,4.142,0.1454,0.0003,10.161,1.8903,0.6633,0.004,0.686,7.479,,0.054,,,0.001,,0.002,,0.001,,0.250,0.583,-0.671,-0.714,-0.720,-0.778,-0.498,
No_4,-40,True,1,1609,68,0.581,-0.663,-0.707,-0.713,-0.772,-0.499,,0.075,,,-0.277,,0.002,,0.001,,0.247,2.8777,2.5315,0.3462,7.109,0.687,1.2699,3.3628,0.300,0.416,137.337,284.173,1.5634,3.3630,,,,3.3645,3.3385,3.3628,3.3594,0.9740,0.712,1.185,0.083,92.267,3.883,0.1497,0.0002,8.339,1.8708,0.6599,0.004,0.666,7.047,,0.055,,,-0.192,,0.002,,0.002,,0.248,0.581,-0.662,-0.707,-0.712,-0.772,-0.498,
No_5,25,True,1,1614,68,0.504,-0.475,-0.551,-0.559,-0.630,-0.430,,0.090,,,0.002,,0.002,,0.002,,0.278,2.8532,2.5206,0.3326,8.248,0.835,1.2647,3.3321,0.343,0.421,179.477,372.268,-0.0265,3.3312,,,,3.3312,3.4936,3.3323,3.3288,0.9787,0.656,1.190,0.114,92.753,4.829,0.1776,0.0004,9.433,1.7909,0.5810,0.005,0.799,7.706,,0.068,,,0.000,,0.002,,0.001,,0.278,0.505,-0.475,-0.552,-0.560,-0.631,-0.430,
No_6,25,True,1,1614,68,0.481,-0.444,-0.524,-0.532,-0.603,-0.417,,0.097,,,0.002,,0.002,,0.002,,0.282,2.8682,2.5111,0.3571,8.640,0.853,1.2585,3.3057,0.363,0.403,186.031,385.495,-0.9763,3.3046,,,,3.3036,6.0199,3.3068,3.3007,1.0167,0.636,1.180,0.125,92.853,4.928,0.1829,0.0007,9.738,1.7804,0.5690,0.005,0.813,8.581,,0.081,,,0.000,,0.002,,0.001,,0.282,0.482,-0.445,-0.525,-0.533,-0.604,-0.417,
No_5,125,True,1,1624,68,0.320,-0.278,-0.347,-0.357,-0.405,-0.336,,3.114,,,0.006,,0.006,,0.014,,0.330,2.8439,2.5052,0.3387,9.774,1.042,1.2543,3.3093,0.395,0.400,240.804,501.093,0.5838,3.3083,,,,3.3089,7.9151,3.3105,3.3026,0.9739,0.556,1.190,0.174,92.874,6.189,0.2304,0.0048,10.178,1.6601,0.4455,0.006,0.991,9.332,,3.298,,,0.007,,0.007,,0.013,,0.331,0.318,-0.275,-0.345,-0.354,-0.402,-0.334,
No_6,125,True,1,1624,68,0.328,-0.285,-0.355,-0.365,-0.413,-0.338,,2.648,,,0.005,,0.006,,0.012,,0.324,2.8281,2.5036,0.3245,9.893,1.006,1.2492,3.2886,0.407,0.391,237.258,492.770,1.1258,3.2866,,,,3.2878,8.2808,3.2902,3.2819,1.0132,0.555,1.180,0.174,93.003,6.095,0.2273,0.0037,10.453,1.6702,0.4669,0.006,0.996,10.018,,2.844,,,0.005,,0.006,,0.012,,0.324,0.324,-0.282,-0.352,-0.362,-0.409,-0.337,
No_5,-40,True,1,1608,68,0.589,-0.687,-0.727,-0.733,-0.790,-0.508,,0.075,,,0.004,,0.004,,0.002,,0.243,2.8441,2.5218,0.3223,6.984,0.708,1.2623,3.3343,0.327,0.462,130.962,270.321,-2.2621,3.3356,,,,3.3333,9.8113,3.3403,3.3305,0.9831,0.737,1.210,0.205,92.908,4.069,0.1440,0.0020,8.945,1.8907,0.6823,0.004,0.685,7.028,,0.053,,,-0.001,,0.006,,0.001,,0.242,0.589,-0.687,-0.727,-0.733,-0.789,-0.508,
No_6,-40,True,1,1608,68,0.576,-0.646,-0.693,-0.699,-0.760,-0.493,,0.071,,,0.003,,0.002,,0.000,,0.251,2.8745,2.5118,0.3626,7.159,0.716,1.2607,3.3028,0.334,0.426,138.979,286.503,-6.3188,3.3063,,,,3.3000,3.0582,3.3072,3.3041,1.0211,0.716,1.206,0.095,92.942,4.114,0.1489,0.0005,9.097,1.8803,0.6715,0.004,0.711,7.196,,0.053,,,0.002,,0.002,,-0.001,,0.250,0.576,-0.647,-0.694,-0.700,-0.760,-0.493,
No_7,25,True,1,1616,68,0.492,-0.458,-0.537,-0.545,-0.615,-0.421,,0.096,,,0.002,,0.002,,0.002,,0.281,2.8569,2.5212,0.3357,7.769,0.837,1.2648,3.3391,0.340,0.437,181.918,377.165,-0.8329,3.3389,,,,3.3381,4.2783,3.3397,3.3354,0.9135,0.646,1.190,0.118,92.582,4.981,0.1806,0.0003,9.117,1.7807,0.5702,0.005,0.811,7.669,,0.075,,,0.001,,0.002,,0.002,,0.280,0.493,-0.459,-0.538,-0.546,-0.616,-0.422,
No_8,25,True,1,1616,68,0.486,-0.450,-0.530,-0.537,-0.607,-0.416,,0.096,,,0.003,,0.002,,0.002,,0.282,2.8411,2.5124,0.3287,7.868,0.849,1.2479,3.2999,0.399,0.421,183.149,379.057,-0.5325,3.2983,,,,3.2978,4.9081,3.3006,3.2957,0.9993,0.645,1.194,0.124,93.284,5.668,0.1807,0.0004,9.400,1.7704,0.5680,0.005,0.823,7.834,,0.077,,,0.000,,0.002,,0.002,,0.282,0.487,-0.451,-0.531,-0.539,-0.609,-0.417,
