4,4,TRUE,1,1153,39,0.506,-0.479,-0.582,-0.569,-0.397,-0.578,,3.547,,,0.196,,0.028,,0.04,,0.35,12.042,0.147,1.267,5.012,0.889,0.96,125.797,420.463,23.965,-449.015,0.775,0.03,1.99,0,91.379,4.617,0.339,-0.017,5.689,1.647,0.382,0.036
1,5,TRUE,1,1153,39,0.506,-0.481,-0.582,-0.569,-0.403,-0.577,,2.899,,,0.199,,0.024,,0.031,,0.325,12.031,0.111,1.265,4.991,0.873,0.94,141.703,419.823,29.37,-451.005,0.761,0.03,1.99,0,91.769,5.203,0.362,-0.029,5.568,1.642,0.383,0.034
2,5,TRUE,1,1153,39,0.507,-0.482,-0.582,-0.569,-0.401,-0.577,,1.952,,,0.191,,0.029,,0.047,,0.325,11.716,0.164,1.265,4.979,0.877,0.87,152.383,434.136,30.726,-472.377,0.803,0.03,1.99,0,91.522,5.38,0.322,-0.008,5.455,1.642,0.358,0.035
3,5,TRUE,1,1153,39,0.506,-0.481,-0.582,-0.568,-0.398,-0.577,,3.814,,,0.153,,0.031,,0.026,,0.337,12.308,0.155,1.273,4.988,0.883,1.03,144.033,413.356,26.815,-433.69,0.765,0.03,1.99,-0.001,90.685,5.045,0.349,-0.012,5.715,1.651,0.38,0.035
4,5,TRUE,1,1153,39,0.506,-0.479,-0.581,-0.568,-0.397,-0.577,,3.571,,,0.195,,0.034,,0.045,,0.354,12.045,0.147,1.267,5.01,0.89,0.96,125.873,420.395,22.727,-449.457,0.774,0.03,1.99,0,91.341,4.533,0.337,-0.016,5.688,1.648,0.382,0.036
1,6,TRUE,1,1153,39,0.506,-0.481,-0.581,-0.569,-0.403,-0.577,,2.926,,,0.186,,0.028,,0.037,,0.339,12.034,0.11,1.265,4.991,0.875,0.94,141.825,420.311,28.369,-451.285,0.765,0.03,1.99,0,91.702,5.424,0.362,-0.029,5.569,1.642,0.383,0.034
2,6,TRUE,1,1153,39,0.507,-0.481,-0.581,-0.568,-0.4,-0.577,,1.953,,,0.185,,0.035,,0.057,,0.316,11.718,0.159,1.265,4.98,0.88,0.87,152.116,434.258,30.919,-472.657,0.804,0.03,1.99,-0.001,91.548,4.77,0.321,-0.007,5.455,1.642,0.358,0.035
3,6,TRUE,1,1153,39,0.506,-0.48,-0.581,-0.568,-0.399,-0.577,,3.849,,,0.167,,0.026,,0.023,,0.329,12.309,0.147,1.273,4.988,0.885,1.03,144.315,413.524,28.991,-433.983,0.763,0.03,1.99,-0.001,90.763,5.265,0.348,-0.011,5.714,1.652,0.38,0.035
4,6,TRUE,1,1153,39,0.505,-0.479,-0.581,-0.568,-0.396,-0.577,,3.502,,,0.196,,0.026,,0.042,,0.352,12.048,0.149,1.268,5.011,0.893,0.96,126.476,420.944,23.076,-449.656,0.774,0.03,1.99,-0.001,91.306,5.495,0.338,-0.016,5.689,1.648,0.385,0.036
1,7,TRUE,1,1153,39,0.505,-0.48,-0.581,-0.569,-0.403,-0.577,,2.957,,,0.193,,0.026,,0.026,,0.332,12.035,0.113,1.265,4.991,0.876,0.94,141.604,420.334,29.358,-451.534,0.765,0.03,1.99,-0.001,91.675,5.085,0.361,-0.03,5.569,1.642,0.385,0.034
2,7,TRUE,1,1153,39,0.506,-0.481,-0.581,-0.568,-0.4,-0.577,,1.91,,,0.194,,0.034,,0.043,,0.315,11.722,0.165,1.265,4.98,0.879,0.87,152.116,434.555,31.622,-472.85,0.802,0.03,1.99,0,91.508,4.834,0.322,-0.007,5.456,1.642,0.358,0.035
